CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0-2000-0-81863,ESTREITO,N,0.0,Operante,Automatica,-6.65333333,0-76-0-2104057000000293,2,182.96,MA,A224,-47.41833332,2008-02-26
0-2000-0-86613,EUCLIDES DA CUNHA,N,0.0,Operante,Automatica,-10.53722221,0-76-0-2910701000000326,4,431.96,BA,A442,-38.99666666,2008-03-30
0-2000-0-81716,FAROL de SANTANA,N,0.0,Pane,Automatica,-2.27083332,0-76-0-2105005000000438,2,9.87,MA,A217,-43.62416666,2008-11-27
0-2000-0-81924,FEIJO,N,0.0,Operante,Automatica,-8.14277777,0-76-0-1200302000000454,1,157.17,AC,A138,-70.3436111,2009-09-23
0-2000-0-86658,FEIRA DE SANTANA,N,0.0,Operante,Automatica,-12.1961111,0-76-0-2910800000000195,4,229.64,BA,A413,-38.96749999,2007-05-25
0-2000-0-81952,FLORESTA,N,0.0,Operante,Automatica,-8.59888888,0-76-0-2605707000000429,3,327.42,PE,A351,-38.58416666,2008-09-14
0-2000-0-86798,FLORESTAL,N,0.0,Operante,Automatica,-19.88527777,0-76-0-3126000000000392,5,753.5,MG,A535,-44.41694443,2008-06-26
0-2000-0-81868,FLORIANO,N,0.0,Operante,Automatica,-6.76138888,0-76-0-2203909000000067,3,126.39,PI,A311,-43.00333333,2004-11-17
0-2000-0-86958,FLORIANOPOLIS,N,0.0,Operante,Automatica,-27.6025,0-76-0-4216602000000043,8,4.87,SC,A806,-48.61999999,2003-01-21
0-2000-0-86820,FORMIGA,N,0.0,Operante,Automatica,-20.455,0-76-0-3126109000000094,5,878.14,MG,A524,-45.45388888,2006-08-16
0-2000-0-86623,FORMOSA DO RIO PRETO,N,0.0,Operante,Automatica,-11.05222222,0-76-0-2911105000000517,4,488.0,BA,A452,-45.20083333,2016-06-01
0-2000-0-86629,FORMOSO DO ARAGUAIA,N,0.0,Operante,Automatica,-11.88749999,0-76-0-1708205000000351,10,215.2,TO,A039,-49.60833333,2008-04-26
